,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9121199982656579,30.220965109447913,117.40787312154906,0,0.0,-1,0
1,0,0.914996476539207,29.44898995358936,153.04252456289535,0,4.457031402342526,-1,0
2,1,0.9113641264480389,27.322433473617636,148.32658305371103,0,4.705169635049202,-1,0
3,2,0.9005640297058763,34.72754926828168,137.99316097366562,0,4.831082294010555,-1,0
4,3,0.9176459141762809,28.9424266668378,93.91617413054186,0,3.9010595807649304,-1,0
5,4,0.919178858621349,34.429995390017844,173.33893493162984,0,4.191535863985956,-1,0
6,5,0.9087111666073868,30.047030845238552,158.1100432395487,0,4.927008701241701,-1,0
7,6,0.9070370533888058,33.94067032815117,123.1150303301215,0,4.604465466783978,-1,0
8,7,0.9016758767287205,33.68563099095769,112.7949739709271,0,4.433489298412423,-1,0
9,8,0.8879243738345258,33.13954117594501,142.55150915047594,0,4.896741571921564,-1,0
10,9,0.9055790182194574,36.103804191249736,109.90709688020752,0,4.383171104419732,-1,0
11,10,0.9124888643626841,36.074505837637616,94.79905803996851,0,4.104749251886348,-1,0
12,11,0.9073039814257902,32.4416411283302,111.73406558481835,0,4.415140612793937,-1,0
13,12,0.9169775139087946,30.26164165509602,131.84283350501838,0,4.145227435431469,-1,0
14,13,0.9015284527012875,33.62213185440007,121.59265450450593,0,4.580040028386143,-1,0
15,14,0.9205488066475676,31.22122086173016,125.10272583172375,0,3.692595181634483,-1,0
16,15,0.9053420342321034,26.918921692141495,136.45564501725568,1,5.056306370937824,0,0
17,16,0.9095186841283502,29.331451888977266,104.99466228986458,0,4.295492451190823,-1,0
18,17,0.9313665065361714,33.28538412852911,148.02929236443325,0,1.5321908301612925,-1,0
19,18,0.8969228198157618,26.921246766210878,134.8200290803834,1,5.0556669138617245,0,0
20,19,0.9070244018236175,30.02298351712402,131.29128977518008,0,4.731530174291747,-1,0
21,20,0.895347459716677,27.8331589388536,139.02659182170243,1,4.846105459555204,-1,0
22,21,0.9059382662318728,32.5510135894336,167.35182396608187,0,5.124627340540997,0,0
23,22,0.8999709944587808,31.024859654187722,114.16223944515649,0,4.456909984889829,-1,0
24,23,0.9024021867811809,26.28011294775895,145.5057359675112,1,5.227824515820126,0,0
25,24,0.8962115624267624,32.177601447296055,119.51855457667422,0,4.546340892723013,-1,0
26,25,0.9092847562101734,35.376490614709255,128.804054336082,0,4.6935736911083366,-1,0
27,26,0.8971294801606587,29.257687967624314,139.2530217663858,1,4.849386085148347,-1,0
28,27,0.9136063378629224,31.047095260628254,126.58626234049272,0,4.4183708817856004,-1,0
29,28,0.9084543476770713,30.84496806640453,154.221128742383,0,4.916541747502965,-1,0
30,29,0.9225073691355758,32.338135905861456,107.16780633584273,0,3.3150976338182563,-1,0
31,30,0.9133135905273263,26.72565231043921,160.3753144530449,0,4.642235292041948,-1,0
32,31,0.9106975521334689,27.466873903219113,144.28988799298378,0,4.72499164573612,-1,0
33,32,0.910500861317319,28.532051692259156,138.3969746209954,0,4.704243690484711,-1,0
34,33,0.9048389385787128,31.72551223891127,88.57584798921577,0,3.98117843834916,-1,0
35,34,0.9132342724654344,31.69146609276244,140.83149183502525,0,4.525112951473893,-1,0
36,35,0.9078565696869445,32.02951313870297,134.45782123427287,0,4.779041587057786,-1,0
37,36,0.8979499487682497,32.12278855670196,135.0660963968569,0,4.788068883063966,-1,0
38,37,0.9008702986419563,25.68322938922592,97.30226859962417,0,5.382019374779675,0,0
39,38,0.9168032924879244,25.075457259381206,81.38223106295781,0,3.9665795767518923,-1,0
40,39,0.910051270114675,29.291242892246192,136.85196339050958,0,4.7239493151563865,-1,0
41,40,0.913241820934185,25.39887942692402,137.51813117598587,0,4.505651649400603,-1,0
42,41,0.9066163126646981,32.99978527342939,158.29845335897647,0,5.034830669113765,0,0
43,42,0.9240019150147439,30.17802661309412,131.59966304908613,0,3.1714934675832143,-1,0
44,43,0.9142709801415969,27.990656516944053,109.26351513975274,0,4.282453765994869,-1,0
45,44,0.915258671574651,32.80832169374674,142.75631344487718,0,4.369514287515722,-1,0
46,45,0.8965268859948096,35.73492743357794,122.90065716542199,0,4.601041463768977,-1,0
47,46,0.9043011273648137,25.938788499836637,89.15918985395747,0,5.157027225968213,0,0
48,47,0.9156697917225189,32.318313249420754,115.24689764130984,0,4.186180609530018,-1,0
49,48,0.9224598226269571,30.578780123613207,110.6420783868547,0,3.338013205101696,-1,0
50,49,0.9017934520461915,31.490483870299542,140.35181634508018,1,4.865250635577819,-1,0
51,50,0.9124735538000744,25.71542644969213,133.516354057623,0,4.5423028413090485,-1,0
52,51,0.8920054331041811,32.769457875557265,132.36458908903785,0,4.747733423034473,-1,0
