,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.903464014233831,29.559274572905274,119.27749477625855,0,0.0,-1,0
1,0,0.9004254735344831,28.763768038356226,125.41451751889478,0,4.640883244506894,-1,0
2,1,0.9118638495037313,30.357030455758736,124.61419004248093,0,4.5408286107468285,-1,0
3,2,0.9173299251721677,24.44203294481833,146.71478528342675,0,4.198249588889828,-1,0
4,3,0.8989251053404688,26.717760324869786,139.51535195089406,1,5.111183663047887,0,0
5,4,0.9211529048921714,29.29816365346033,111.66376869089984,0,3.541346229964762,-1,0
6,5,0.9182373651241653,29.109596670677423,115.37752406946404,0,3.927685210162367,-1,0
7,6,0.9297403296936777,25.88422001022131,126.52373975818747,0,1.5856118627091258,-1,0
8,7,0.9091300278285829,30.23777128597113,163.18522946964393,0,4.937027424656251,-1,0
9,8,0.906560099308755,30.015059184630683,101.29919541666388,0,4.2278752528876025,-1,0
10,9,0.9170628785534332,28.49334581050147,143.45709814250762,0,4.204724954788214,-1,0
11,10,0.897096412675631,23.550338228101108,134.97361937239708,1,5.687680051856483,0,0
12,11,0.9038338658801488,27.89697262625637,151.58352102309658,1,5.022616042493746,0,0
13,12,0.9040158210390893,26.43409317679096,163.79727182852406,1,5.182208351275157,0,0
14,13,0.9131751004703442,30.226836981847487,122.31285556119444,0,4.431350027677853,-1,0
15,14,0.9040205395148591,33.58119790848827,96.19631634717251,0,4.13169834307791,-1,0
16,15,0.9146196758447378,33.91328376645204,161.9998056151237,0,4.549887850946281,-1,0
17,16,0.907613848463128,26.940962587496188,92.28102479327873,0,4.8899966046990375,-1,0
18,17,0.8951959483960046,36.810134564689655,135.26596335415826,0,4.791028278546323,-1,0
19,18,0.9057110003594275,38.40511794865148,134.88131387677066,0,4.7853298607002515,-1,0
20,19,0.9101639931360475,27.430598092938546,120.25453393770319,0,4.666177010879534,-1,0
21,20,0.9099177097850504,30.50966137049341,103.35247551057877,0,4.265644320813114,-1,0
22,21,0.9191094700971235,27.816041991573947,169.34601074131865,0,4.167004210355498,-1,0
23,22,0.896779919336699,29.637795573556573,121.48579322020744,0,4.578315814697322,-1,0
24,23,0.9109880670427997,33.55080453497485,137.8075077906946,0,4.669465530979667,-1,0
25,24,0.9027344631651525,31.217274636034265,120.84662429359071,0,4.567975771811824,-1,0
26,25,0.916260460303046,32.734157111604205,188.3910232234986,0,4.621385013433706,-1,0
27,26,0.919377059612011,23.14409282108825,146.0957904783728,0,3.9674312987627185,-1,0
28,27,0.8992048999754875,28.652341961743463,106.24775358358477,0,4.534502652268936,-1,0
29,28,0.9042682405763875,29.646959417843746,159.45966616696725,1,5.128487811913325,0,0
30,29,0.9117026299128733,30.70823448398765,145.78142640479155,0,4.6668359844066085,-1,0
31,30,0.9087500534507671,30.892793267802183,163.44794765883435,0,4.959769593662195,-1,0
