,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9138939590383766,26.261937057482456,109.62043095993155,0,0.0,-1,0
1,0,0.9155235010583129,28.696610311259164,135.0580997682593,0,4.301132482317238,-1,0
2,1,0.9004948553446469,27.464131501582962,113.72884972655206,0,4.902709144652955,-1,0
3,2,0.8980964911331635,25.87060192181937,115.93047506518145,0,5.33412753674136,0,0
4,3,0.9023196826018496,29.82753119004038,120.15950401002706,0,4.556807836543901,-1,0
5,4,0.8952459768852793,29.662656238286655,112.85610411083618,0,4.4345418345270025,-1,0
6,5,0.8965498423889307,30.617116994100044,161.91195198306755,1,5.160817680471548,0,0
7,6,0.933728739254659,31.8945937556872,88.33782623482077,0,1.4076280205758542,-1,0
8,7,0.9032537488611325,29.41141045389446,123.86145235679719,0,4.61634854483794,-1,0
9,8,0.9037417270475578,29.644570316795047,159.16043462978766,1,5.124523533374416,0,0
10,9,0.8892064131076493,32.349198893244996,120.12448795915816,0,4.5562372500624,-1,0
11,10,0.9146621401955829,28.391256401879588,85.80443761710296,0,4.212911478685487,-1,0
12,11,0.9141513997804426,31.710518340675073,154.5898026797608,0,4.537516922289414,-1,0
13,12,0.9162152595994988,29.74964592717387,93.17580142517897,0,4.043281318344351,-1,0
14,13,0.9041317009856551,33.455818777349215,98.68913647681964,0,4.179108786873858,-1,0
15,14,0.9061511483721089,32.29063486431369,170.34585891454162,0,5.135372667360734,0,0
16,15,0.9216164997605528,28.958828656230054,144.51836850919935,0,3.651288512300897,-1,0
17,16,0.9168133004876565,22.663452292505895,122.64261979238313,0,4.112834266568238,-1,0
18,17,0.9074789327262497,28.658320599861593,162.43352983145502,0,5.019353434298277,0,0
19,18,0.9168833801918579,32.60375733778007,136.9027425852846,0,4.183308829825984,-1,0
20,19,0.9033464646320575,27.587793702016416,108.13297846407599,0,4.866739086274149,-1,0
21,20,0.9028720808866944,27.475940395002596,106.12312706178616,0,4.899293892082564,-1,0
22,21,0.9146049906739978,34.34813027832938,151.03389972142546,0,4.477071710392336,-1,0
23,22,0.9196703672791473,27.317728368752633,140.05520187184007,0,3.8934457778837803,-1,0
24,23,0.9010980284470193,32.93749179713604,122.26798982744182,0,4.590906993477,-1,0
25,24,0.9146990237195535,33.80193922536974,131.31130172647144,0,4.352793621691688,-1,0
26,25,0.9075346203100852,33.105509499343256,131.61206654502908,0,4.7363837176627115,-1,0
27,26,0.9301587687617175,35.74442404499914,144.2051789866167,0,1.5229996971106645,-1,0
28,27,0.9090981735884894,30.674976162933405,124.51197611002407,0,4.62665620610208,-1,0
29,28,0.9211060760367916,24.153598335743094,129.54184609358873,0,3.6381441759525464,-1,0
30,29,0.9147150290834979,27.90760333070774,165.3301365062888,0,4.565931949332598,-1,0
31,30,0.9075678391889627,32.07584523686996,119.9375914223202,0,4.5531893574086375,-1,0
32,31,0.9143114758399533,27.599217091555854,112.3145727413114,0,4.292403924283778,-1,0
33,32,0.9234207481557013,30.773107071216877,127.78637779633688,0,3.2583738624997136,-1,0
34,33,0.9095348006204822,31.588982126541357,147.33936478189594,0,4.8141974486095,-1,0
35,34,0.9039777248267084,31.756308744505535,106.73203984564002,0,4.326737357851332,-1,0
36,35,0.8965967513337438,28.593006108094446,144.93514175082979,1,4.930478146110835,-1,0
37,36,0.9108479431599281,28.882487928882263,121.77601934152327,0,4.5829956376913294,-1,0
38,37,0.9138810607707512,31.396258471983533,121.42794105748985,0,4.370516318391022,-1,0
39,38,0.9089072905880956,26.18813513389781,153.1968734402591,1,4.885373444706573,-1,0
40,39,0.9101379046632453,27.71568985489173,115.17825494469469,0,4.668569570546021,-1,0
41,40,0.9011647231731473,30.473463267874603,152.43868775157046,1,5.0342734076237905,0,0
42,41,0.9200579113828172,28.966282205588897,151.81233294302217,0,3.920575447137932,-1,0
43,42,0.899291925754403,30.035083967226182,107.06564224723944,0,4.332698703608633,-1,0
44,43,0.9019500921608697,33.73456002166442,139.85856767576558,0,4.85814031804081,-1,0
45,44,0.9080092917933795,32.828302263452684,109.93760840357137,0,4.383708959157905,-1,0
46,45,0.8958489407302643,31.870210529177978,103.20174825160109,0,4.262888966765698,-1,0
47,46,0.8883620901843522,27.40421328545073,118.85815537119346,0,4.919975953638388,-1,0
48,47,0.9091495592183776,31.729038588431003,132.01803710831106,0,4.742512960636726,-1,0
49,48,0.8925168775791855,27.006259067947088,130.89498801072727,1,5.03220125351027,0,0
50,49,0.8996942487211368,27.249591569620364,118.18572867435398,0,4.9640702381969035,-1,0
51,50,0.9065342878656707,28.98278514626579,173.92549517978574,0,5.142916320486354,0,0
52,51,0.9184690799891111,30.699648047340833,133.14983946807286,0,3.9945114938471575,-1,0
53,52,0.9140439743408079,30.48040725780752,110.29476726288826,0,4.305895867117392,-1,0
54,53,0.8897943415573064,37.457685484811904,136.49923956079667,0,4.809215964617219,-1,0
55,54,0.9012558828751687,27.855649414880602,145.32881325394257,1,4.9360125732711415,-1,0
56,55,0.9091075986248697,31.438645679201265,146.45314867874123,0,4.833734486010846,-1,0
57,56,0.9126375263642669,29.00567446137901,132.6528937702103,0,4.52544847737134,-1,0
58,57,0.9047945048022035,33.14828546104458,164.12976868789724,0,5.152757476042223,0,0
59,58,0.9010059830496069,30.09348529459081,132.83869733727167,1,4.754858103480992,-1,0
60,59,0.9042539152160316,27.948785527897233,148.3639633677327,1,4.978341680471461,-1,0
61,60,0.9115262906142059,30.22513853074447,114.49046483903791,0,4.462495149273646,-1,0
62,61,0.9084132055720592,31.26360472326719,154.4498322208636,0,4.920171486914595,-1,0
63,62,0.9081497031959578,31.73365472936689,124.53688566641742,0,4.627050009791887,-1,0
64,63,0.8896343064746881,34.598361426430266,127.31024782145455,0,4.670493526549377,-1,0
65,64,0.9239383383915263,29.48316981326229,101.22070715671569,0,3.0429535717002625,-1,0
66,65,0.9211703935388484,30.866754379913274,173.84223518603875,0,3.9327570698170895,-1,0
67,66,0.9099738766621166,28.862416863812207,140.0571887289323,0,4.746248631866878,-1,0
68,67,0.9191106439441893,28.44422592578003,124.79336479071891,0,3.8746098702658505,-1,0
69,68,0.9085969136708989,36.15982425587269,123.27974103851034,0,4.607092852149419,-1,0
70,69,0.8981974725411236,27.30978254216964,81.35315415520739,0,4.946982818456543,-1,0
