,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9225608265927032,28.767273987385014,125.60329786752563,0,0.0,0,0
1,0,0.910301387875226,28.628556181689838,118.38400445016757,0,4.542450891063206,0,0
2,1,0.9236975881923128,27.270706102252202,139.4800674697708,0,3.272898114402227,0,0
3,2,0.9060525722507409,34.48100860445058,112.42699162111776,0,4.427142571502661,0,0
4,3,0.9078999084956547,29.39223762986735,134.2931027532328,0,4.7765916390571554,0,0
5,4,0.8992308152660492,29.526139044446357,138.01746492058845,1,4.831436561381979,0,0
6,5,0.9111370165230714,33.43494095991899,96.38520539333052,0,4.135320432939795,0,0
7,6,0.9131071876515098,31.75326958735249,107.4065571221261,0,4.3387782542691715,0,0
8,7,0.8954477594353912,28.29797543928789,128.0103975026209,0,4.6813384057994165,0,0
9,8,0.9267803167692192,24.30278143600297,140.71253305100151,0,2.595037008984279,0,0
10,9,0.9049810635428167,29.51429500283036,110.62113600185205,0,4.395722719821395,0,0
11,10,0.9261371401076893,28.470065783395402,176.67478120835665,0,2.9897908744373525,0,0
12,11,0.8164234301717775,25.349042183037174,343.38926685560455,1,9.0,1,1
13,12,0.8475642527535262,24.801247775099917,249.26647082923603,1,6.011638308057129,1,1
14,13,0.8125361067855629,28.652707861318273,322.0392039663655,1,9.0,1,1
15,14,0.8252776231459542,27.39369670178616,279.8497759709375,1,7.406593076282402,1,1
16,15,0.8443497277723557,30.129774569014128,339.47108258934395,1,6.932938747848073,1,1
17,16,0.8273079344422072,22.40754111967015,271.99714462228474,1,7.059030101351969,1,1
18,17,0.800444001239911,24.311749065456954,265.33681989116536,1,6.800765771369064,1,1
19,18,0.8494780330687226,23.151949683586334,264.5600599495759,1,6.211254181675839,1,1
20,19,0.8591917449112331,24.49533684849613,314.04723809019345,1,6.741985895775115,1,1
21,20,0.831607549206203,21.979471348696407,315.02134604630714,1,8.438927264351276,1,1
22,21,0.8491164567651527,21.45844681865147,354.3915432534151,1,6.800927837802881,1,1
23,22,0.8534081314962519,29.28865680664839,406.85416208942286,1,6.718279535822845,1,1
24,23,0.8553169830002412,21.52453945434818,380.90253007861145,1,6.697032906415015,1,1
25,24,0.8483703929572946,24.100135175362222,352.1066449390577,1,6.81802738398212,1,1
26,25,0.8290526573875641,26.160539727335404,325.85054201528544,1,9.0,1,1
27,26,0.8356358097586452,24.099253385007295,354.77969447419446,1,7.610382343905834,1,1
28,27,0.8065575734212327,22.671909641916045,380.56020851711355,1,9.0,1,1
29,28,0.8232607878379721,21.643981742426824,285.4178597732762,1,7.687276367833376,1,1
30,29,0.8656597582525917,29.83177422592598,294.6446932540007,1,6.673485485161822,1,1
31,30,0.8400516455416737,22.548981227025966,274.6876197503376,1,6.516234705821403,1,1
32,31,0.8397451941583673,21.96892513738788,356.8495750022869,1,7.178383693440158,1,1
33,32,0.8348766170795594,23.09134556489404,425.76064532309147,1,7.7252311201873765,1,1
34,33,0.8661082350082545,28.796666849234917,402.7643040776717,1,6.769218102168774,1,1
35,34,0.8167605582499163,25.372997985281483,419.69004234239435,1,9.0,1,1
36,35,0.8182853847673993,31.460296326610273,244.87750635537571,1,6.163066913928896,1,1
37,36,0.8188890967731298,30.53646547912656,252.78491478775058,1,6.385856959174395,1,1
38,37,0.8285421144992078,27.40947599721149,402.90464892179483,1,9.0,1,1
39,38,0.8132369517147944,24.831423620431373,384.9369725730001,1,9.0,1,1
40,39,0.8266099795579263,26.1777239824141,364.23545199443515,1,9.0,1,1
41,40,0.8043089157749777,25.35507547339629,422.63497142685947,1,9.0,1,1
42,41,0.8563495588318638,27.588644438215653,272.7619671923001,1,6.302626624408209,1,1
43,42,0.8503443731489903,19.98003172308091,268.80143539010714,1,6.622680243625574,1,1
44,43,0.8191952808172898,19.246271573964684,306.60810374716465,1,8.860060839236619,1,1
45,44,0.826875857460738,19.951697618589773,271.28706125196845,1,8.27597009406794,1,1
46,45,0.8217109714677129,26.549314126717324,464.1923424855312,1,9.0,1,1
47,46,0.863556614056279,29.36536766872729,295.5658540287461,1,6.658591088278177,1,1
48,47,0.8685683861868239,26.1196844188375,368.87051115462293,1,6.8201602814039575,1,1
49,48,0.8274002563750513,23.331507912188115,262.9992062370488,1,6.716927707904706,1,1
50,49,0.8516054617442647,27.476339308675456,356.2924836456797,1,6.750284817857559,1,1
51,50,0.8424379700813993,28.685178533975595,420.26205628401226,1,7.007724586051234,1,1
52,51,0.8123669798942041,30.324796153030327,288.6751576362368,1,7.867058468738383,1,1
53,52,0.8753993457624938,25.997192463945787,443.5913879190379,1,6.732410831950821,1,1
54,53,0.8535050586046006,18.577971853091682,306.36414364666945,1,6.716644058390771,1,1
55,54,0.8091878261412547,22.673354370949227,312.8309326334796,1,9.0,1,1
56,55,0.8223904706852141,27.684831199896564,363.5123534104852,1,9.0,1,1
57,56,0.8154433447733471,27.068763685021118,305.18766712395535,1,8.803268631559641,1,1
58,57,0.8269994913893343,31.74765001584096,408.024020102112,1,9.0,1,1
59,58,0.836266092090132,27.002171547931813,253.45059223769078,1,6.228578536047788,1,1
