,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9259106164879675,31.58571722272083,120.06264664957283,0,0.0,-1,0
1,0,0.8566358834571096,20.723534603464046,364.9698340692466,1,6.714875584352169,1,1
2,1,0.8416447546720852,21.131167831821905,425.8780454992892,1,7.051460128389634,1,1
3,2,0.8377799979184388,23.422533477611506,349.37950758269216,1,7.351908817131158,1,1
4,3,0.8329972630565992,26.326436660111295,330.9913778534851,1,8.082667773346415,1,1
5,4,0.8039941702462222,29.670052710588376,285.7238206072726,1,7.703643286768036,1,1
6,5,0.8173232130883588,23.06756963325185,337.7129037986238,1,9.0,1,1
7,6,0.8255123638841831,20.30801095632869,311.67887502603935,1,9.0,1,1
8,7,0.8275454822162434,26.164468342105533,351.0996408781285,1,9.0,1,1
9,8,0.838065942831378,23.506881043187946,275.80384764477515,1,6.639405090892031,1,1
10,9,0.8510502150052127,27.96881361965356,415.8103460545787,1,6.76084633218597,1,1
11,10,0.8578989103724828,26.480189972589507,184.93371287087763,1,5.432252794744096,0,1
12,11,0.8429380115309976,25.193688126197394,208.68393013837118,1,5.4376422609321775,0,1
13,12,0.8248067513523273,24.194925625152095,352.80372975408693,1,9.0,1,1
14,13,0.8347500947861111,23.64503224052154,308.3432484703638,1,7.719795379184377,1,1
15,14,0.8465849184606483,18.288862316710485,395.38421417491907,1,6.863651433476763,1,1
16,15,0.8731245606312833,28.744841015751092,349.07430561367903,1,6.848567655517323,1,1
17,16,0.8005659000791648,23.376556001172418,413.06944769472875,1,9.0,1,1
18,17,0.8452840771483332,16.227258417948097,250.0946486096526,1,6.902036987141543,1,1
19,18,0.8027583472623742,23.39304391414895,272.45477939915327,1,7.077921994575432,1,1
20,19,0.8154766436375787,23.181296813693177,403.21087097621955,1,9.0,1,1
21,20,0.8279850472442192,32.767776916818434,209.1905458432924,0,5.40891108749999,0,1
22,21,0.840041988313819,26.396948828794198,350.9186176991227,1,7.15622537726106,1,1
23,22,0.8261723133291662,29.56143005865286,251.10494514235626,1,6.336300122392243,1,1
24,23,0.8512781089129817,27.347832247344336,332.1031891709473,1,6.756466318604081,1,1
25,24,0.8203780209394809,26.257570966216615,350.9368109076727,1,9.0,1,1
26,25,0.8408425817005845,27.340196814221446,376.050562389202,1,7.1009283993756505,1,1
27,26,0.8409173015338736,25.52890631005132,360.01920587607555,1,7.09608075722606,1,1
28,27,0.8509906923914868,26.318001248542224,373.5646405095306,1,6.762001052201853,1,1
29,28,0.8415590061090404,24.357544647627712,331.8120667739055,1,7.0564856073511235,1,1
30,29,0.834416900801986,28.807592049744787,361.4109569209756,1,7.802177790654308,1,1
31,30,0.822745152529978,23.618592719510648,398.91672391359083,1,9.0,1,1
32,31,0.8613231713613249,22.750082259748122,434.2269327775996,1,6.780285303195864,1,1
33,32,0.8510992313076694,29.728215352693567,363.9706505065289,1,6.759898799541909,1,1
34,33,0.8517083244590526,25.667846772237645,252.5556665078749,1,6.047202391970432,1,1
35,34,0.8204134699571307,32.51450865541676,360.9382860344832,0,9.0,1,1
36,35,0.8137318301401955,26.523105253196487,358.44483936103506,1,9.0,1,1
37,36,0.818584560000612,29.05837998691598,253.9479279186822,1,6.420916860081658,1,1
38,37,0.8414692511708873,23.880131714001898,413.84803160127433,1,7.06181108613872,1,1
39,38,0.8590933514131217,34.12480788751219,329.5731675530669,0,6.741108875338189,1,1
40,39,0.8331393529078726,29.971647516157397,314.9042563527696,1,8.051266434718285,1,1
41,40,0.8687009252636714,25.291323680355376,348.8473198222853,1,6.821268866557703,1,1
42,41,0.8027611457651819,24.485406355895826,417.94629019837623,1,9.0,1,1
43,42,0.8366119905571685,25.62090356345623,272.5359564405954,1,6.6802511096951305,1,1
44,43,0.8085171130059521,20.14858962888227,419.2345673070493,1,9.0,1,1
45,44,0.8108363697383106,25.677530400273596,277.16672808759336,1,7.281995736828789,1,1
46,45,0.8066371253404745,24.41263901552988,318.6871542025492,1,9.0,1,1
47,46,0.838145745489649,30.869692693266927,299.6350750979409,1,7.177740320708143,1,1
48,47,0.8080935782604005,27.72049709235386,431.18180288982046,1,9.0,1,1
49,48,0.8495780316007477,27.674867682614497,356.6221761491861,1,6.79084090441611,1,1
50,49,0.8185154355973762,23.467022747848407,329.05604149968747,1,9.0,1,1
51,50,0.8305702067432799,20.406027365495085,343.58789233395737,1,8.778179893579512,1,1
52,51,0.86359912417866,29.427208744314065,384.5273275329629,1,6.771140378985576,1,1
53,52,0.8313879532899331,20.44177843772497,236.35817918797926,1,7.5724748616860715,1,1
54,53,0.8447451593900112,24.12731066957861,263.59724866847944,1,6.230275959397955,1,1
55,54,0.797742000543094,26.2256204485254,276.5107477772541,1,7.2524959428229145,1,1
56,55,0.8433651710891501,27.947786983736744,261.54434066935363,1,6.209825906755883,1,1
57,56,0.8350589015801199,22.18028598262279,347.621799679344,1,7.6963291235099796,1,1
58,57,0.8567957266561088,21.580084631596947,378.3534036670152,1,6.716848912367194,1,1
59,58,0.8439843390521197,26.07217307082383,420.6053639352928,1,6.945898576829591,1,1
60,59,0.818235231524777,21.320829628878375,264.6767727267333,1,6.898734764243052,1,1
61,60,0.8190768098266752,20.81522953819908,272.102295084698,1,7.331151430492479,1,1
62,61,0.836051058950752,20.847419015214612,252.81733740209597,1,6.842764871958703,1,1
63,62,0.835023969403341,25.299117534601596,325.55819551553554,1,7.7018000459141875,1,1
64,63,0.8212954093953118,17.087388877352357,380.09249648899447,1,9.0,1,1
65,64,0.8221578106646846,25.882301939425265,353.76364585815,1,9.0,1,1
66,65,0.8335903166765016,27.882940224519473,359.11669255269646,1,7.95682385766326,1,1
67,66,0.840416122287191,26.160850984713605,276.42619316975566,1,6.533764405356896,1,1
68,67,0.8683711998877508,27.04211865945752,264.69866085245206,1,6.3906068569587005,1,1
69,68,0.8532520805135329,22.447870811080673,337.86468541459203,1,6.7209291176532195,1,1
70,69,0.8322865039880835,23.12663980447714,256.557386480391,1,6.418204829896596,1,1
71,70,0.843222387173281,29.061275334461445,350.9354618659369,1,6.974707000950891,1,1
72,71,0.8364755581258033,24.848654445179296,374.67744529767185,1,7.49874814286012,1,1
73,72,0.8319748217838359,17.849530675283418,419.4504631483377,1,8.33520727086084,1,1
74,73,0.8377176961541786,23.18459037113434,400.2113347857488,1,7.358278017756197,1,1
75,74,0.8224452148331226,24.72488739293743,251.1046238286517,1,6.336290764289979,1,1
76,75,0.8541123951246172,28.67591436197432,381.7357973437281,1,6.70656539081531,1,1
77,76,0.8272673752829706,24.326725540014507,405.9805607165369,1,9.0,1,1
78,77,0.8495599326289971,22.137077830662157,331.0315724613481,1,6.79122978341258,1,1
79,78,0.8386541862868913,24.957021774701442,323.1130281521307,1,7.268513178428093,1,1
80,79,0.8582078244335885,24.5742987366071,456.4089276003767,1,6.755619488301194,1,1
81,80,0.8483778288547285,24.563674375168173,390.7991691233274,1,6.8178517844955,1,1
82,81,0.8535210898337431,28.836094628561504,407.625846225446,1,6.716374302668794,1,1
83,82,0.8441723363566206,24.628933126340435,420.0752562106086,1,6.939165129248655,1,1
84,83,0.81550854267336,28.007102411555618,341.6077799663479,1,9.0,1,1
85,84,0.8320405030922415,24.928925365771377,311.14821061619637,1,8.317444468545983,1,1
86,85,0.841719917554539,21.520822809146438,437.43928986115804,1,7.047104486621256,1,1
87,86,0.8276137591827188,28.860983239189853,296.49483041113615,1,8.35503454846621,1,1
88,87,0.8268893385672846,27.920758107362303,428.26182458316305,1,9.0,1,1
89,88,0.8495136138599932,29.280341648898176,249.62328486947797,1,6.013438594582638,1,1
90,89,0.8533560883733236,26.191117934522204,243.09841677814558,1,5.916035359875905,0,1
91,90,0.8586736328309852,25.544417237407572,358.19307692160083,1,6.737224203829292,1,1
92,91,0.828398298705996,27.052109630426486,350.1438531265268,1,9.0,1,1
