,time,packet_rate,bandwidth,response_time,flagged_malicious,fuzzy_compromised_value,fuzzy_compromised_category,compromised_truth
0,-1,0.9112255599335188,30.225374808512985,130.3569607949522,0,0.0,-1,0
1,0,0.9222830902974176,22.818076212143787,151.60679215352604,0,3.593862042506316,-1,0
2,1,0.9121705549030427,27.819950095839776,166.42376097764654,0,4.768833290946451,-1,0
3,2,0.8998436481140243,30.299427716576083,129.38460870759369,0,4.702485296951285,-1,0
4,3,0.9069755622354836,31.494618044329837,119.07725437655901,0,4.539106197244676,-1,0
5,4,0.9081186173955261,29.903502851723534,123.85128707067376,0,4.616187116055724,-1,0
6,5,0.9171887957095228,34.29767688871764,143.75340625015826,0,4.193910637592742,-1,0
7,6,0.8890432492318661,33.52995347846553,97.00381291624386,0,4.147148223422509,-1,0
8,7,0.9000891210626624,27.127655814407493,92.41066675381386,0,4.998395817447279,-1,0
9,8,0.9118759830355675,26.18938874927386,175.85625243956702,0,4.858947782499064,-1,0
10,9,0.9113521791673752,24.832606904276957,154.25722618420662,0,4.7428052075747,-1,0
11,10,0.9148824295231773,26.732091322656032,144.24678179958445,0,4.411168660194565,-1,0
12,11,0.916183653408775,30.837548444336893,149.66942044723106,0,4.328953093864007,-1,0
13,12,0.9164112378437826,32.8755636448462,127.43965478686081,0,4.176950528745348,-1,0
14,13,0.9134577347261559,32.40495649297983,138.82787798958478,0,4.496099198784343,-1,0
15,14,0.9183385961339606,25.414745840531857,136.46806298467794,0,4.028245063727458,-1,0
16,15,0.9323098973663164,29.43916552516246,164.20915595507583,0,1.5726034389095966,-1,0
17,16,0.936468539768027,31.144475489457108,158.21921151201855,0,1.557363829662881,-1,0
18,17,0.9075056806064644,27.810824874053626,156.2388605930757,0,4.978532203104978,-1,0
19,18,0.9278548036052894,35.64168405595055,120.67883594359056,0,2.206150465624698,-1,0
20,19,0.9128716835638285,23.023595292365542,125.52676576297634,0,4.470830813645695,-1,0
21,20,0.8996790924534711,26.71971034051515,168.66953036596038,1,5.248557546107567,0,0
22,21,0.9189479358624286,30.586002920587212,127.51423532515503,0,3.9083263522344636,-1,0
23,22,0.9238659633354194,27.919465647915782,139.99168654132268,0,3.2443945242095755,-1,0
24,23,0.9130654341467659,27.619413541584255,131.30771967601635,0,4.485595229579043,-1,0
25,24,0.9026895188650985,32.75104165012507,108.92658627777067,0,4.365813896528311,-1,0
26,25,0.9144297557211478,30.571997195628857,150.971275470335,0,4.49122769648581,-1,0
27,26,0.9062426014989003,29.87452867779746,153.23892970851523,0,5.0213794138069225,0,0
28,27,0.8995372223146834,30.252811282537348,88.9009691596215,0,3.987785939878119,-1,0
29,28,0.9059866783559338,26.32105576889978,134.213204397307,1,5.023914171809719,0,0
30,29,0.8927737381497604,32.74435125630744,139.57303919606417,0,4.854015970313115,-1,0
31,30,0.8978444641308971,27.578999795002872,129.14949394449349,0,4.869312257964095,-1,0
32,31,0.9104802910670476,32.06292476954728,114.57864221482782,0,4.463993175260841,-1,0
33,32,0.9136408383058092,24.374886251018054,130.4038132728297,0,4.435398487719847,-1,0
34,33,0.9225941204463773,32.36026652915839,134.9890250367897,0,3.4398010021955616,-1,0
35,34,0.9191778446234146,33.5717619412459,103.68482854390605,0,3.7666021755988734,-1,0
36,35,0.9112496815698421,25.156533182321038,139.49202524866186,0,4.661406351814689,-1,0
37,36,0.9192413077009601,30.294217551281715,164.27695556803897,0,4.111840776998941,-1,0
38,37,0.9015346838584669,29.805365732653495,122.21231693857862,0,4.590013072872884,-1,0
39,38,0.8982735526734204,30.052745205533753,146.3123367163166,1,4.949794421087663,-1,0
40,39,0.8943194740436178,30.74128303093507,128.80757130003937,0,4.6936277742497525,-1,0
41,40,0.9044941579702481,34.85775977243018,141.35586292266495,0,4.879668368316575,-1,0
42,41,0.9027614498773684,29.059188391276532,114.95705123383284,0,4.470410304366163,-1,0
